event_id,det_id,track_id,xtop,ytop,z,xbot,ybot,StatNb,ViewNb,PlaneNb,LayerNb,StrawNb
11.0,12102286.0,3.0,221.553175324,-49.3612390458,2603.75,-226.758773971,-10.1390257592,1.0,2.0,1.0,0.0,286.0
11.0,13002281.0,3.0,225.012214055,-20.9237730752,2611.15,-225.012214055,-20.9237730752,1.0,3.0,0.0,0.0,281.0
11.0,13012281.0,3.0,225.012214055,-20.0437730752,2612.25,-225.012214055,-20.0437730752,1.0,3.0,0.0,1.0,281.0
11.0,13112281.0,3.0,225.012214055,-20.4837730752,2614.85,-225.012214055,-20.4837730752,1.0,3.0,1.0,1.0,281.0
11.0,20002282.0,3.0,225.012214055,-22.6237730752,2781.15,-225.012214055,-22.6237730752,2.0,0.0,0.0,0.0,282.0
11.0,20112282.0,3.0,225.012214055,-22.1837730752,2784.85,-225.012214055,-22.1837730752,2.0,0.0,1.0,1.0,282.0
11.0,21012277.0,3.0,225.310245527,6.41773012304,2792.25,-223.001703769,-32.8044831635,2.0,1.0,0.0,1.0,277.0
11.0,21102276.0,3.0,225.277126345,6.79628410831,2793.75,-223.034822951,-32.4259291782,2.0,1.0,1.0,0.0,276.0
11.0,21112277.0,3.0,225.348594054,5.97940445588,2794.85,-222.963355242,-33.2428088307,2.0,1.0,1.0,1.0,277.0
11.0,22002287.0,3.0,221.443359088,-50.6164443654,2801.15,-226.868590207,-11.3942310788,2.0,2.0,0.0,0.0,287.0
11.0,22012288.0,3.0,221.371891379,-51.4333240178,2802.25,-226.940057916,-12.2111107313,2.0,2.0,0.0,1.0,288.0
11.0,22102287.0,3.0,221.405010561,-51.0547700326,2803.75,-226.906938734,-11.832556746,2.0,2.0,1.0,0.0,287.0
11.0,23002282.0,3.0,225.012214055,-22.6237730752,2811.15,-225.012214055,-22.6237730752,2.0,3.0,0.0,0.0,282.0
11.0,23102282.0,3.0,225.012214055,-23.0637730752,2813.75,-225.012214055,-23.0637730752,2.0,3.0,1.0,0.0,282.0
11.0,23112282.0,3.0,225.012214055,-22.1837730752,2814.85,-225.012214055,-22.1837730752,2.0,3.0,1.0,1.0,282.0
11.0,30002309.0,3.0,249.9992,-25.3,3321.15,-249.9992,-25.3,3.0,0.0,0.0,0.0,309.0
11.0,30012310.0,3.0,249.9992,-26.12,3322.25,-249.9992,-26.12,3.0,0.0,0.0,1.0,310.0
11.0,30102309.0,3.0,249.9992,-25.74,3323.75,-249.9992,-25.74,3.0,0.0,1.0,0.0,309.0
11.0,31002304.0,3.0,250.512094045,5.05279503438,3331.15,-247.583661089,-38.5249368903,3.0,1.0,0.0,0.0,304.0
11.0,31112304.0,3.0,250.473745519,5.49112070154,3334.85,-247.622009616,-38.0866112231,3.0,1.0,1.0,1.0,304.0
11.0,32012315.0,3.0,246.030545753,-56.2771264103,3342.25,-252.065209381,-12.6993944856,3.0,2.0,0.0,1.0,315.0
11.0,32112315.0,3.0,245.992197226,-56.7154520774,3344.85,-252.103557908,-13.1377201528,3.0,2.0,1.0,1.0,315.0
11.0,33012310.0,3.0,249.9992,-26.12,3352.25,-249.9992,-26.12,3.0,3.0,0.0,1.0,310.0
11.0,33102309.0,3.0,249.9992,-25.74,3353.75,-249.9992,-25.74,3.0,3.0,1.0,0.0,309.0
11.0,40012310.0,3.0,249.9992,-26.12,3522.25,-249.9992,-26.12,4.0,0.0,0.0,1.0,310.0
11.0,40102309.0,3.0,249.9992,-25.74,3523.75,-249.9992,-25.74,4.0,0.0,1.0,0.0,309.0
11.0,41002304.0,3.0,250.512094045,5.05279503438,3531.15,-247.583661089,-38.5249368903,4.0,1.0,0.0,0.0,304.0
11.0,41102304.0,3.0,250.550442572,4.61446936722,3533.75,-247.545312562,-38.9632625574,4.0,1.0,1.0,0.0,304.0
11.0,42002315.0,3.0,245.9538487,-57.1537777446,3541.15,-252.141906435,-13.5760458199,4.0,2.0,0.0,0.0,315.0
11.0,42012315.0,3.0,246.030545753,-56.2771264103,3542.25,-252.065209381,-12.6993944856,4.0,2.0,0.0,1.0,315.0
11.0,42112315.0,3.0,245.992197226,-56.7154520774,3544.85,-252.103557908,-13.1377201528,4.0,2.0,1.0,1.0,315.0
11.0,43012310.0,3.0,249.9992,-26.12,3552.25,-249.9992,-26.12,4.0,3.0,0.0,1.0,310.0
11.0,43102309.0,3.0,249.9992,-25.74,3553.75,-249.9992,-25.74,4.0,3.0,1.0,0.0,309.0
11.0,43112310.0,3.0,249.9992,-26.56,3554.85,-249.9992,-26.56,4.0,3.0,1.0,1.0,310.0
13.0,10012250.0,4.0,225.012214055,32.6562269248,2582.25,-225.012214055,32.6562269248,1.0,0.0,0.0,1.0,250.0
13.0,10102249.0,4.0,225.012214055,33.0362269248,2583.75,-225.012214055,33.0362269248,1.0,0.0,1.0,0.0,249.0
13.0,11012257.0,4.0,222.346950273,40.2883498582,2592.25,-225.964999022,1.06613657161,1.0,1.0,0.0,1.0,257.0
13.0,11102256.0,4.0,222.313831091,40.6669038434,2593.75,-225.998118204,1.44469055688,1.0,1.0,1.0,0.0,256.0
13.0,12002243.0,4.0,227.962608646,23.8989190519,2601.15,-220.34934065,63.1211323384,1.0,2.0,0.0,0.0,243.0
13.0,12112243.0,4.0,228.000957173,24.337244719,2604.85,-220.310992123,63.5594580056,1.0,2.0,1.0,1.0,243.0
13.0,13012250.0,4.0,225.012214055,32.6562269248,2612.25,-225.012214055,32.6562269248,1.0,3.0,0.0,1.0,250.0
13.0,13112250.0,4.0,225.012214055,32.2162269248,2614.85,-225.012214055,32.2162269248,1.0,3.0,1.0,1.0,250.0
13.0,20012252.0,4.0,225.012214055,29.2562269248,2782.25,-225.012214055,29.2562269248,2.0,0.0,0.0,1.0,252.0
13.0,20112252.0,4.0,225.012214055,28.8162269248,2784.85,-225.012214055,28.8162269248,2.0,0.0,1.0,1.0,252.0
13.0,21002259.0,4.0,222.719976852,36.0246365503,2791.15,-225.591972443,-3.19757673622,2.0,1.0,0.0,0.0,259.0
13.0,21102259.0,4.0,222.758325379,35.5863108832,2793.75,-225.553623916,-3.63590240338,2.0,1.0,1.0,0.0,259.0
13.0,22012245.0,4.0,227.742976174,21.3885084127,2802.25,-220.568973121,60.6107216992,2.0,2.0,0.0,1.0,245.0
13.0,22112245.0,4.0,227.704627647,20.9501827455,2804.85,-220.607321648,60.1723960321,2.0,2.0,1.0,1.0,245.0
13.0,23002252.0,4.0,225.012214055,28.3762269248,2811.15,-225.012214055,28.3762269248,2.0,3.0,0.0,0.0,252.0
13.0,23102252.0,4.0,225.012214055,27.9362269248,2813.75,-225.012214055,27.9362269248,2.0,3.0,1.0,0.0,252.0
13.0,30012286.0,4.0,249.9992,14.68,3322.25,-249.9992,14.68,3.0,0.0,0.0,1.0,286.0
13.0,30112286.0,4.0,249.9992,14.24,3324.85,-249.9992,14.24,3.0,0.0,1.0,1.0,286.0
13.0,31012295.0,4.0,249.101914128,21.1712252495,3332.25,-248.993841007,-22.4065066751,3.0,1.0,0.0,1.0,295.0
13.0,31102294.0,4.0,249.068794945,21.5497792348,3333.75,-249.026960189,-22.0279526899,3.0,1.0,1.0,0.0,294.0
13.0,32002278.0,4.0,251.435944918,5.50686876539,3341.15,-246.659810216,49.08460069,3.0,2.0,0.0,0.0,278.0
13.0,32012278.0,4.0,251.512641972,6.38352009971,3342.25,-246.583113162,49.9612520244,3.0,2.0,0.0,1.0,278.0
13.0,32112278.0,4.0,251.474293445,5.94519443255,3344.85,-246.621461689,49.5229263572,3.0,2.0,1.0,1.0,278.0
13.0,33012287.0,4.0,249.9992,12.98,3352.25,-249.9992,12.98,3.0,3.0,0.0,1.0,287.0
13.0,33102286.0,4.0,249.9992,13.36,3353.75,-249.9992,13.36,3.0,3.0,1.0,0.0,286.0
13.0,40002290.0,4.0,249.9992,7.0,3521.15,-249.9992,7.0,4.0,0.0,0.0,0.0,290.0
13.0,40102290.0,4.0,249.9992,6.56,3523.75,-249.9992,6.56,4.0,0.0,1.0,0.0,290.0
13.0,40112290.0,4.0,249.9992,7.44,3524.85,-249.9992,7.44,4.0,0.0,1.0,1.0,290.0
13.0,41002299.0,4.0,249.771270232,13.5204499682,3531.15,-248.324484902,-30.0572819565,4.0,1.0,0.0,0.0,299.0
13.0,41102299.0,4.0,249.809618759,13.082124301,3533.75,-248.286136376,-30.4956076236,4.0,1.0,1.0,0.0,299.0
13.0,41112299.0,4.0,249.732921705,13.9587756353,3534.85,-248.362833429,-29.6189562893,4.0,1.0,1.0,1.0,299.0
13.0,42012282.0,4.0,250.919982921,-0.39060384731,3542.25,-247.175772213,43.1871280773,4.0,2.0,0.0,1.0,282.0
13.0,42112282.0,4.0,250.881634395,-0.82892951447,3544.85,-247.21412074,42.7488024102,4.0,2.0,1.0,1.0,282.0
13.0,43012291.0,4.0,249.9992,6.18,3552.25,-249.9992,6.18,4.0,3.0,0.0,1.0,291.0
13.0,43112291.0,4.0,249.9992,5.74,3554.85,-249.9992,5.74,4.0,3.0,1.0,1.0,291.0
13.0,10012241.0,3.0,225.012214055,47.9562269248,2582.25,-225.012214055,47.9562269248,1.0,0.0,0.0,1.0,241.0
13.0,10102240.0,3.0,225.012214055,48.3362269248,2583.75,-225.012214055,48.3362269248,1.0,0.0,1.0,0.0,240.0
13.0,11002246.0,3.0,220.793834938,58.0405393782,2591.15,-227.518114358,18.8183260916,1.0,1.0,0.0,0.0,246.0
13.0,11102246.0,3.0,220.832183464,57.602213711,2593.75,-227.479765831,18.3800004244,1.0,1.0,1.0,0.0,246.0
13.0,12012235.0,3.0,229.224623801,38.3238182802,2602.25,-219.087325495,77.5460315668,1.0,2.0,0.0,1.0,235.0
13.0,12102234.0,3.0,229.257742983,38.7023722655,2603.75,-219.054206312,77.9245855521,1.0,2.0,1.0,0.0,234.0
13.0,13002240.0,3.0,225.012214055,48.7762269248,2611.15,-225.012214055,48.7762269248,1.0,3.0,0.0,0.0,240.0
13.0,13112240.0,3.0,225.012214055,49.2162269248,2614.85,-225.012214055,49.2162269248,1.0,3.0,1.0,1.0,240.0
